[12:52:31] GPU monitor started (nb84 PID parent=1801745)
[17:33:51] GPU2: util=100% mem=39897MiB free=5488MiB | nb84=3788MiB
[17:33:51] 🟢 Training aktif (util=100%)
[17:34:52] GPU2: util=100% mem=39897MiB free=5488MiB | nb84=3788MiB
[17:34:52] 🟢 Training aktif (util=100%)
[17:35:52] GPU2: util=100% mem=39897MiB free=5488MiB | nb84=3788MiB
[17:35:52] 🟢 Training aktif (util=100%)
[17:36:53] GPU2: util=100% mem=39897MiB free=5488MiB | nb84=3788MiB
[17:36:53] 🟢 Training aktif (util=100%)
[17:37:54] GPU2: util=100% mem=39897MiB free=5488MiB | nb84=3788MiB
[17:37:54] 🟢 Training aktif (util=100%)
[17:38:55] GPU2: util=100% mem=39917MiB free=5468MiB | nb84=3788MiB
[17:38:55] 🟢 Training aktif (util=100%)
[17:39:57] GPU2: util=100% mem=39919MiB free=5466MiB | nb84=3788MiB
[17:39:57] 🟢 Training aktif (util=100%)
